date,open,close,high,low,volume,money
2018-11-14,3233.64,3204.94,3239.24,3200.23,11380865900,105386565968
2018-11-15,3201.28,3242.37,3242.38,3198.78,9855881000,100119192332
2018-11-16,3242.88,3257.67,3282.39,3223.72,12687683500,135379803918
2018-11-19,3258.79,3294.6,3294.6,3251.07,11595659500,123188777592
2018-11-20,3268.08,3218.41,3278.78,3213.68,10936115400,114155066806
2018-11-21,3187.1,3226.49,3230.26,3185.24,8411972600,87813273908
2018-11-22,3232.97,3214.43,3235.45,3199.7,6509829100,70083372614
2018-11-23,3208.59,3143.48,3212.2,3139.39,8463825500,86864946183
2018-11-26,3148.67,3141.24,3169.44,3131.64,5937914000,61899479598
2018-11-27,3152.77,3137.24,3162.01,3126.29,5540783200,61946261110
2018-11-28,3137.75,3178.93,3179.41,3126.62,7488195500,77620553113
2018-11-29,3198.83,3137.65,3204.86,3137.65,8049846600,86927611883
2018-11-30,3136.2,3172.69,3175.15,3132.42,7092104400,77297697684
2018-12-03,3260.69,3260.95,3273.64,3228.36,12148715700,145828416489
2018-12-04,3256.23,3267.71,3267.94,3243.7,7941503900,90543600273
2018-12-05,3224.26,3252.0,3266.9,3219.98,7615305200,90909093829
2018-12-06,3218.11,3181.67,3223.52,3179.89,7632877100,95678883443
2018-12-07,3187.49,3181.56,3193.82,3176.71,5336192400,66323970656
2018-12-10,3153.52,3144.76,3170.15,3134.38,6343727300,73717204733
2018-12-11,3148.23,3159.82,3161.96,3143.61,5322387700,60014969778
2018-12-12,3181.57,3170.61,3182.21,3160.28,5330991400,60536223473
2018-12-13,3178.89,3219.69,3234.08,3169.42,9044275500,103375478636
2018-12-14,3207.35,3165.91,3210.72,3165.91,8430125000,91576900504
2018-12-17,3158.28,3161.2,3167.51,3134.37,6649700700,77151490857
2018-12-18,3139.95,3128.43,3165.0,3114.47,6382031900,72035451400
2018-12-19,3133.74,3091.13,3137.01,3086.76,5552229900,67872922422
2018-12-20,3083.54,3067.42,3097.72,3044.29,6974946300,78181426503
2018-12-21,3055.33,3029.4,3057.4,3007.61,7675810100,84824064753
2018-12-24,3015.5,3038.2,3040.35,3007.33,5729961500,63880740605
2018-12-25,3006.88,3017.28,3030.14,2964.88,7868942500,80413567307
2018-12-26,3012.87,3002.03,3029.06,2996.48,5564703200,58574968998
2018-12-27,3042.95,2990.51,3047.23,2990.51,8054178500,81159269974
2018-12-28,2994.8,3010.65,3024.35,2984.82,7105377900,78145310042
2019-01-02,3017.07,2969.54,3018.78,2958.49,6866302100,76105571277
2019-01-03,2963.02,2964.84,3000.44,2953.25,7086710300,76664797393
2019-01-04,2940.19,3035.87,3036.81,2935.83,10331897200,107141037088
2019-01-07,3055.15,3054.3,3061.75,3035.91,10116435900,105703940790
2019-01-08,3049.87,3047.7,3055.51,3038.53,8617058500,79628882664
2019-01-09,3065.23,3078.48,3117.96,3062.85,10736435000,117129678905
2019-01-10,3077.48,3072.69,3092.54,3062.57,8527175600,90206871737
2019-01-11,3082.26,3094.78,3102.83,3071.03,7178642400,77420239578
2019-01-14,3092.5,3067.78,3097.41,3064.38,6612170200,68115969094
2019-01-15,3071.52,3127.99,3129.37,3064.67,8877296200,99976891144
2019-01-16,3126.13,3128.65,3135.01,3117.29,8021434100,85781591791
2019-01-17,3132.63,3111.42,3141.71,3110.06,8017487100,82888206986
2019-01-18,3124.5,3168.17,3171.69,3120.35,10396383400,106780658490
2019-01-21,3170.88,3185.64,3199.21,3170.88,9391502200,105536986579
2019-01-22,3181.95,3143.32,3181.95,3135.34,7299052800,78150876312
2019-01-23,3136.1,3141.05,3157.63,3131.87,5987047800,62669652004
2019-01-24,3146.6,3158.78,3165.63,3125.3,7293463600,80963877218
2019-01-25,3165.18,3184.47,3203.17,3164.41,8396772900,93207954747
2019-01-28,3203.12,3183.78,3228.87,3174.72,8262243100,97371496147
2019-01-29,3177.26,3193.97,3200.99,3148.23,7765833400,85943908590
2019-01-30,3181.66,3168.48,3202.9,3167.89,6374651700,73005123447
2019-01-31,3182.7,3201.63,3216.07,3178.01,8624783900,97509924771
2019-02-01,3225.73,3247.4,3247.5,3207.72,8201964100,94766412762
2019-02-11,3239.81,3306.47,3307.06,3239.81,9881843400,114752354821
2019-02-12,3306.35,3330.34,3335.36,3298.63,12223246200,122834101006
2019-02-13,3337.78,3397.03,3405.58,3329.14,16382833200,168866262062
2019-02-14,3392.85,3402.14,3415.4,3381.98,15112729000,138649287970
2019-02-15,3391.24,3338.7,3395.03,3335.87,14366860300,141555060947
2019-02-18,3366.42,3445.74,3445.74,3366.42,18288608900,180449742544
2019-02-19,3454.72,3439.61,3480.79,3419.07,17908378500,185762746553
2019-02-20,3449.93,3451.93,3463.77,3421.51,14739031100,145570263069
2019-02-21,3450.14,3442.71,3500.25,3431.63,18014328700,185197154784
2019-02-22,3439.38,3520.12,3520.12,3417.98,18723797400,202869288708
2019-02-25,3575.85,3729.48,3729.48,3574.69,34255712200,376382393433
2019-02-26,3734.71,3684.69,3762.11,3679.27,35803869800,387632860075
2019-02-27,3682.81,3678.39,3737.63,3638.33,28623600700,307306148138
2019-02-28,3675.26,3669.37,3695.46,3650.05,18481022000,206010958184
2019-03-01,3699.22,3749.71,3749.71,3668.77,20471100400,235620623488
2019-03-04,3783.04,3794.1,3886.58,3764.78,32349012600,376397284705
2019-03-05,3785.38,3816.01,3816.16,3770.79,23085316600,261464122211
2019-03-06,3822.86,3848.09,3855.16,3787.52,31807737100,331155616598
2019-03-07,3841.15,3808.85,3845.18,3778.8,32984654800,359339152916
2019-03-08,3721.4,3657.58,3774.54,3656.19,31799007700,349296691226
2019-03-11,3663.98,3729.95,3731.91,3650.81,23091286500,268718458804
2019-03-12,3758.32,3755.35,3804.72,3723.68,27492638200,325180619758
2019-03-13,3758.71,3724.19,3763.09,3708.81,23368224800,286171048159
2019-03-14,3710.29,3698.49,3747.82,3673.85,19081723700,231820149389
2019-03-15,3713.94,3745.01,3782.24,3713.94,17517454400,224194362924
2019-03-18,3753.64,3851.75,3851.75,3733.68,21692806000,276473448869
2019-03-19,3856.59,3833.96,3868.34,3815.22,18172711000,224096889633
2019-03-20,3825.34,3835.44,3855.15,3790.51,17563209000,215406993601
2019-03-21,3840.28,3836.89,3864.07,3823.47,19631031000,231993445601
2019-03-22,3838.13,3833.8,3845.58,3786.59,17135699300,198518386318
2019-03-25,3776.44,3742.83,3807.18,3741.61,19858632900,223396564361
2019-03-26,3766.53,3700.44,3770.84,3687.55,17304657900,196547811178
